"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2024)"
"Weight: Housing Unit Weight (WGTP)"
"Universe:"
"Selected Geographies:"
"  East North Central Division"
"  East South Central Division"
"  Middle Atlantic Division"
"  Mountain Division"
"  New England Division"
"  Pacific Division"
"  South Atlantic Division"
"  West North Central Division"
"  West South Central Division"
"","","Income_Group (HINCP_RC1)","","","","",""
"Group","Educational attainment","Total Income_Group (HINCP_RC1)","0-24999","25000-49999","50000-99999","100000-149999","150000+"
"","Total","253,362,374","23,261,484","34,267,644","71,054,748","51,116,811","73,661,687"
" -> New England Division","","11,782,754","921,912","1,256,268","2,808,784","2,378,217","4,417,573"
" -> New England Division -> 18-29","","1,994,607","120,802","194,809","493,931","443,251","741,814"
" -> New England Division -> 18-29 -> Male","","1,006,877","51,583","92,642","251,768","217,297","393,587"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","9,292","1,166","1,370","2,960","2,019","1,777"
"","Nursery school, preschool","136","0","0","0","42","94"
"","Kindergarten","0","0","0","0","0","0"
"","Grade 1","0","0","0","0","0","0"
"","Grade 2","490","0","229","218","43","0"
"","Grade 3","1,191","340","0","638","158","55"
"","Grade 4","204","91","0","113","0","0"
"","Grade 5","1,030","0","0","907","0","123"
"","Grade 6","2,167","244","478","503","668","274"
"","Grade 7","695","0","285","139","271","0"
"","Grade 8","1,064","138","176","631","49","70"
"","Grade 9","6,460","442","1,245","1,984","954","1,835"
"","Grade 10","9,391","399","1,313","4,566","1,036","2,077"
"","Grade 11","32,520","3,525","4,577","8,743","5,625","10,050"
"","12th grade - no diploma","24,411","1,422","3,644","6,374","3,740","9,231"
"","Regular high school diploma","324,794","18,298","38,478","93,831","67,208","106,979"
"","GED or alternative credential","20,382","614","1,619","6,638","4,608","6,903"
"","Some college, but less than 1 year","62,573","3,082","4,863","13,900","15,735","24,993"
"","1 or more years of college credit, no degree","145,719","8,681","11,939","38,671","32,131","54,297"
"","Associate's degree","41,847","2,040","3,909","7,894","10,683","17,321"
"","Bachelor's degree","253,177","7,980","13,808","50,208","55,232","125,949"
"","Master's degree","54,794","2,507","3,783","9,461","13,841","25,202"
"","Professional degree beyond a bachelor's degree","8,048","551","764","1,455","1,778","3,500"
"","Doctorate degree","6,492","63","162","1,934","1,476","2,857"
" -> New England Division -> 18-29 -> Female","","987,730","69,219","102,167","242,163","225,954","348,227"
"","N/A (less than 3 years old)","0","0","0","0","0","0"
"","No schooling completed","8,917","1,538","626","2,365","2,320","2,068"
"","Nursery school, preschool","278","0","0","0","242","36"
"","Kindergarten","212","0","121","91","0","0"
"","Grade 1","0","0","0","0","0","0"
"","Grade 2","237","0","0","0","158","79"
"","Grade 3","443","0","138","82","0","223"
"","Grade 4","377","377","0","0","0","0"
