census_region,age_group,sex,education_5,income_bin,pop_count
East North Central Division,18-29,Female,Bachelor degree,0-24999,47222
East North Central Division,18-29,Female,Bachelor degree,100000-149999,207162
East North Central Division,18-29,Female,Bachelor degree,150000+,206228
East North Central Division,18-29,Female,Bachelor degree,25000-49999,89177
East North Central Division,18-29,Female,Bachelor degree,50000-99999,218896
East North Central Division,18-29,Female,Graduate degree,0-24999,15431
East North Central Division,18-29,Female,Graduate degree,100000-149999,58016
East North Central Division,18-29,Female,Graduate degree,150000+,64415
East North Central Division,18-29,Female,Graduate degree,25000-49999,25371
East North Central Division,18-29,Female,Graduate degree,50000-99999,53537
East North Central Division,18-29,Female,High school degree,0-24999,123494
East North Central Division,18-29,Female,High school degree,100000-149999,176866
East North Central Division,18-29,Female,High school degree,150000+,167817
East North Central Division,18-29,Female,High school degree,25000-49999,182709
East North Central Division,18-29,Female,High school degree,50000-99999,306688
East North Central Division,18-29,Female,Less than high school degree,0-24999,43634
East North Central Division,18-29,Female,Less than high school degree,100000-149999,46509
East North Central Division,18-29,Female,Less than high school degree,150000+,51235
East North Central Division,18-29,Female,Less than high school degree,25000-49999,54698
East North Central Division,18-29,Female,Less than high school degree,50000-99999,83394
East North Central Division,18-29,Female,Some college or Associate degree,0-24999,123249
East North Central Division,18-29,Female,Some college or Associate degree,100000-149999,217503
East North Central Division,18-29,Female,Some college or Associate degree,150000+,184065
East North Central Division,18-29,Female,Some college or Associate degree,25000-49999,191770
East North Central Division,18-29,Female,Some college or Associate degree,50000-99999,344525
East North Central Division,18-29,Male,Bachelor degree,0-24999,40408
East North Central Division,18-29,Male,Bachelor degree,100000-149999,158228
East North Central Division,18-29,Male,Bachelor degree,150000+,198311
East North Central Division,18-29,Male,Bachelor degree,25000-49999,59448
East North Central Division,18-29,Male,Bachelor degree,50000-99999,181006
East North Central Division,18-29,Male,Graduate degree,0-24999,8118
East North Central Division,18-29,Male,Graduate degree,100000-149999,32152
East North Central Division,18-29,Male,Graduate degree,150000+,37172
East North Central Division,18-29,Male,Graduate degree,25000-49999,16112
East North Central Division,18-29,Male,Graduate degree,50000-99999,36216
East North Central Division,18-29,Male,High school degree,0-24999,103590
East North Central Division,18-29,Male,High school degree,100000-149999,282154
East North Central Division,18-29,Male,High school degree,150000+,265310
East North Central Division,18-29,Male,High school degree,25000-49999,196376
East North Central Division,18-29,Male,High school degree,50000-99999,421740
East North Central Division,18-29,Male,Less than high school degree,0-24999,35035
East North Central Division,18-29,Male,Less than high school degree,100000-149999,62689
East North Central Division,18-29,Male,Less than high school degree,150000+,77031
East North Central Division,18-29,Male,Less than high school degree,25000-49999,62849
